OBJECTID,CenterLongitude,CenterLatitude
450,-88.27364908778651,40.13651026376138
451,-88.25490983071542,40.10717877867478
452,-88.26802659068568,40.108088805450755
453,-88.2587872365885,40.09366578279001
454,-88.29289721603735,40.104676647106075
455,-88.28332350919696,40.0739059592882
456,-88.2803543215101,40.162631715580446
457,-88.28272027306869,40.10637645812855
458,-88.28309084322102,40.1034290206391
460,-88.24438630255449,40.1251693784253
462,-88.25478129592592,40.124894954450326
463,-88.25714387977419,40.12519161562798
464,-88.24769913570802,40.11080814636598
465,-88.28836152533137,40.09069314275734
466,-88.24440617071154,40.12681707066282
467,-88.22973246320717,40.12351906695779
468,-88.27306019597546,40.09731183308123
469,-88.31595648331107,40.09787338104874
470,-88.26843658984552,40.09572966252364
471,-88.24928067785143,40.11463708484825
472,-88.24444047052384,40.12376463099909
473,-88.26475633804105,40.082698888426656
474,-88.29063997734539,40.13288102494987
475,-88.22989973191534,40.10319161978883
